id,edad
221162,33
248977,34
1183059,22
1387300,29
928237,27
174421,35
1086950,28
1118606,23
1182504,27
1003010,24
881111,28
82474,37
789406,40
1515401,22
79680,36
1836864,22
796958,32
839734,27
1003721,27
1510920,21
881166,26
333807,32
834177,33
249829,36
879962,29
249409,33
927326,28
122616,37
1116987,22
1087087,25
830889,28
249407,32
896806,34
927308,26
944655,27
1018414,26
986257,36
2076942,20
1201391,23
989849,25
558816,33
1113232,24
992131,28
975220,26
105717,35
1114494,30
966531,28
1651228,23
1086999,25
2503074,19
40776,38
846158,33
790004,32
1087031,25
941485,29
33958,40
789435,35
1190083,24
1819592,21
1092312,29
1385939,21
869620,30
1836879,21
962030,26
941403,30
2405408,18
